SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"HOMEFIRST","1,173.70","1,187.00","1,167.30","1,176.00","1,184.90","-","8.9","0.76","91800","10.83","1,375.00","893.70","-3.09","-4.21"
"CCL","1,123.90","1,140.00","1,122.00","1,123.60","1,130.10","-","6.5","0.58","93753","10.59","1,242.20","815.50","-6.91","30.89"
"IGIL","351.50","351.95","339.90","347.20","345.00","-","-2.2","-0.63","301469","10.35","392.00","287.00","-0.55","3.22"
"ZFCVINDIA","2,615.00","2,644.70","2,605.30","2,615.00","2,612.30","-","-2.7","-0.1","38354","10.08","3,044.00","2,050.33","11.93","13.88"
"RITES","226.74","228.00","222.58","226.67","223.50","-","-3.17","-1.4","447470","10.06","280.90","175.00","-1.38","-10.2"
"AAVAS","1,396.80","1,433.30","1,388.10","1,396.80","1,404.70","-","7.9","0.57","70390","9.96","1,771.90","1,060.40","-7.94","-18.69"
"RAINBOW","1,514.00","1,516.40","1,472.20","1,504.10","1,478.80","-","-25.3","-1.68","66397","9.90","1,610.00","1,084.00","0.57","-3.82"
"SAREGAMA","529.10","529.50","514.05","529.10","515.30","-","-13.8","-2.61","178262","9.26","574.50","307.05","7.53","7.63"
"ERIS","1,395.00","1,395.00","1,341.30","1,390.30","1,350.90","-","-39.4","-2.83","67924","9.22","1,820.00","1,200.00","-5.61","-19.56"
"RAILTEL","287.00","287.70","284.00","287.30","286.00","-","-1.3","-0.45","309175","8.84","412.90","245.00","-6.99","-17.48"
"VTL","596.15","600.60","588.10","596.00","590.00","-","-6","-1.01","145328","8.62","688.00","383.70","-7.25","47.63"
"SARDAEN","497.35","499.75","487.90","495.85","490.00","-","-5.85","-1.18","170619","8.41","639.75","453.10","-2.19","-11.17"
"UCOBANK","25.92","26.45","25.92","26.12","26.15","-","0.03","0.11","3124920","8.19","34.20","22.22","-2.06","-7.7"
"BIKAJI","619.95","621.35","606.15","619.85","609.00","-","-10.85","-1.75","122851","7.53","818.70","592.55","-5.33","-15.44"
"GILLETTE","7,660.00","7,660.00","7,581.50","7,641.50","7,585.00","-","-56.5","-0.74","9849","7.48","10,740.00","7,206.00","-3.31","-27.06"
"SOBHA","1,355.00","1,355.00","1,327.00","1,342.10","1,334.00","-","-8.1","-0.6","55797","7.46","1,732.00","1,130.00","-11.73","-11.55"
"CANFINHOME","826.00","826.85","817.10","825.90","820.00","-","-5.9","-0.71","89754","7.38","971.50","708.60","-11.01","10.37"
"ABREL","1,419.30","1,419.40","1,371.10","1,400.80","1,378.00","-","-22.8","-1.63","52933","7.33","1,965.30","1,080.10","-4.77","-24.24"
"CHAMBLFERT","444.30","444.95","441.35","444.35","442.95","-","-1.4","-0.32","165429","7.32","580.70","399.75","-2.38","-17.46"
"FIRSTCRY","215.05","216.39","213.33","214.08","214.80","-","0.72","0.34","341283","7.32","438.70","202.56","1.2","-42.74"
"ITI","284.00","289.40","282.25","285.50","283.00","-","-2.5","-0.88","234439","6.68","372.85","237.00","-2.5","-6.48"
"CHALET","817.20","827.00","811.80","821.20","824.00","-","2.8","0.34","79279","6.51","1,070.10","691.35","-1.88","-5.88"
"MGL","1,138.00","1,138.00","1,114.00","1,134.30","1,115.00","-","-19.3","-1.7","55339","6.23","1,378.00","900.00","-1","-17.82"
"GODIGIT","266.90","266.90","260.35","265.20","262.05","-","-3.15","-1.19","221410","5.81","381.40","244.20","-16.01","-27.48"
"CANHLIFE","149.00","150.29","146.91","149.35","147.90","-","-1.45","-0.97","388552","5.76","166.69","106.00","2.69","0"
