SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"EIEL","212.00","212.89","200.84","213.97","203.40","-","-10.57","-4.94","2468285","50.33","276.10","134.71","-16.81","-16.02"
"RUBICON","1,659.90","1,679.80","1,625.10","1,655.10","1,645.20","-","-9.9","-0.6","289009","47.83","1,684.10","570.75","14.94","0"
"SFL","691.35","717.85","687.70","679.25","691.50","-","12.25","1.8","674656","47.31","832.45","456.80","-9.64","4.22"
"PNGJL","630.40","633.45","608.50","630.40","615.55","-","-14.85","-2.36","764710","47.07","736.40","503.00","4.68","6.01"
"SUDARSCHEM","1,119.70","1,123.10","1,030.10","1,110.00","1,052.00","-","-58","-5.23","436812","47.01","1,603.00","726.40","5.28","-26.85"
"BALUFORGE","462.00","471.00","455.00","459.00","463.20","-","4.2","0.92","1012793","46.97","697.00","341.05","-0.41","-19.23"
"JSLL","539.25","541.45","505.00","539.20","509.00","-","-30.2","-5.6","888284","46.43","849.50","492.00","-14.17","-5.65"
"KRN","1,295.00","1,345.00","1,294.00","1,287.70","1,335.00","-","47.3","3.67","341240","45.28","1,405.00","589.80","8.46","48.09"
"PTC","172.03","172.07","165.05","171.95","165.90","-","-6.05","-3.52","2677463","44.79","229.51","149.59","-3.8","-11.02"
"BORORENEW","565.10","581.35","562.05","562.50","576.00","-","13.5","2.4","759215","43.57","721.00","374.40","-10.08","-1.92"
"TVSSCS","126.95","137.00","126.74","126.11","129.41","-","3.3","2.62","3139526","41.47","146.50","90.32","-8.65","-2.07"
"BBOX","729.00","795.00","721.50","743.35","756.60","-","13.25","1.78","550829","41.46","1,103.00","435.05","-17.97","52.03"
"FIEMIND","2,604.10","2,674.80","2,582.00","2,592.20","2,645.00","-","52.8","2.04","153129","40.34","2,674.80","1,794.00","17.56","46.18"
"VARROC","840.00","864.90","826.05","842.15","831.65","-","-10.5","-1.25","467591","39.56","864.90","462.00","25.73","60.04"
"YATHARTH","862.60","880.00","856.05","865.70","863.00","-","-2.7","-0.31","431376","37.49","919.50","538.25","4.01","21.56"
"SHRIPISTON","4,419.10","4,588.00","4,400.00","4,419.10","4,460.50","-","41.4","0.94","82738","37.36","4,588.00","2,354.10","6.47","83.43"
"SMLMAH","5,200.00","5,270.00","5,125.50","5,208.50","5,162.00","-","-46.5","-0.89","71634","37.19","5,987.90","2,719.00","24.24","31.09"
"SURYAROSNI","239.50","239.50","222.15","235.83","224.50","-","-11.33","-4.8","1627671","37.09","326.00","187.35","-12.71","-29.09"
"TANLA","620.05","620.85","591.30","616.65","596.60","-","-20.05","-3.25","606531","36.59","766.00","365.90","8.43","-2.39"
"ATLANTAELE","1,586.00","1,699.00","1,586.00","1,586.30","1,649.80","-","63.5","4","219650","36.43","2,152.60","707.60","-2.69","0"
"HCC","20.24","20.24","19.71","20.05","20.12","-","0.07","0.35","18181740","36.22","28.50","13.65","-15.78","-6.16"
"RELAXO","422.00","439.00","412.55","421.65","419.00","-","-2.65","-0.63","837534","35.87","526.00","236.50","6.16","-3.31"
"AEQUS","241.00","241.00","233.01","240.73","237.41","-","-3.32","-1.38","1480520","35.04","274.39","113.30","-4.57","0"
"WEBELSOLAR","85.29","87.80","85.29","89.77","85.29","-","-4.48","-4.99","4071727","34.88","157.30","50.40","-14.58","-40.05"
"CMSINFO","263.05","264.45","253.40","266.10","255.20","-","-10.9","-4.1","1333828","34.11","452.30","253.40","-2.74","-41.44"
