SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NAVINFLUOR","8,200.00","8,444.00","8,125.50","8,156.00","8,352.50","-","196.5","2.41","290940","242.96","8,775.50","4,498.50","8.31","70.62"
"NAUKRI","1,360.10","1,364.00","1,329.60","1,360.00","1,339.00","-","-21","-1.54","1787437","240.49","1,437.80","908.30","11.21","1.35"
"MUTHOOTFIN","2,925.40","2,932.90","2,870.10","2,915.90","2,876.30","-","-39.6","-1.36","822104","237.49","4,149.50","2,476.60","-8.09","13.54"
"LLOYDSME","1,976.50","1,983.10","1,877.50","1,986.20","1,905.00","-","-81.2","-4.09","1221771","233.44","2,125.00","1,042.90","5.86","37.96"
"AMBUJACEM","426.70","426.70","418.05","424.00","421.00","-","-3","-0.71","5400539","227.24","605.45","394.00","-3.54","-28.3"
"EXIDEIND","485.00","495.25","482.35","483.35","491.80","-","8.45","1.75","4593999","224.32","496.40","287.00","15.88","30.66"
"HDFCAMC","2,520.00","2,520.00","2,482.30","2,515.00","2,490.00","-","-25","-0.99","889475","221.63","2,967.25","2,205.60","-9.82","-8.89"
"LUMAXTECH","2,085.00","2,110.00","2,000.10","2,076.30","2,015.00","-","-61.3","-2.95","1053290","216.41","2,110.00","990.00","35.14","96.85"
"PICCADIL","711.00","725.20","640.70","778.25","691.95","-","-86.3","-11.09","3217206","216.24","809.70","515.00","3","15.07"
"MAHABANK","78.85","81.99","78.75","78.95","81.90","-","2.95","3.74","26570514","215.91","94.50","51.71","-2.79","47.09"
"GLAND","2,924.00","2,949.90","2,860.00","2,924.40","2,875.00","-","-49.4","-1.69","732471","212.08","2,988.40","1,573.60","15.96","48.7"
"BPCL","317.00","318.50","311.50","317.80","317.00","-","-0.8","-0.25","6726295","211.15","391.65","266.60","2.34","-2.07"
"VIJAYA","1,428.20","1,525.00","1,421.10","1,428.20","1,524.90","-","96.7","6.77","1399910","207.37","1,525.00","848.00","9.78","44.5"
"BANKBARODA","246.00","251.40","245.50","246.20","251.00","-","4.8","1.95","8298917","207.30","325.50","230.81","0.02","3.26"
"TRENT","3,000.00","3,019.00","2,972.90","3,000.00","2,987.00","-","-13","-0.43","692694","207.25","3,782.67","2,183.67","2.9","-16.49"
"HINDUNILVR","2,065.00","2,072.10","2,050.10","2,064.90","2,063.00","-","-1.9","-0.09","995523","204.68","2,750.00","2,016.00","-4.07","-16.94"
"RHIM","420.00","420.00","385.00","415.55","385.65","-","-29.9","-7.2","5130721","203.24","515.55","323.05","-8.26","-21.22"
"LAURUSLABS","1,856.30","1,862.30","1,835.00","1,858.00","1,850.00","-","-8","-0.43","1088545","201.35","1,870.80","810.05","20.3","122.64"
"SUZLON","47.49","47.49","46.90","47.50","47.35","-","-0.15","-0.32","41760811","196.82","64.95","38.19","-12.18","-25"
"TORNTPHARM","4,864.00","4,893.50","4,824.50","4,886.00","4,893.00","-","7","0.14","400740","194.85","5,250.00","3,480.60","-0.17","34.94"
"SWIGGY","282.00","282.00","276.00","280.50","279.35","-","-1.15","-0.41","6996952","194.72","474.00","235.75","2.23","-28.96"
"LUPIN","2,286.60","2,287.80","2,249.50","2,278.90","2,281.00","-","2.1","0.09","861217","194.62","2,529.50","1,875.00","-8.62","17.35"
"GMRAIRPORT","105.11","106.29","102.15","105.11","104.55","-","-0.56","-0.53","18618816","192.61","115.64","84.11","-7.07","18.46"
"HCLTECH","1,370.00","1,370.00","1,340.40","1,365.40","1,365.40","-","0","0","1418468","192.48","1,780.10","1,030.00","17.29","-8.92"
"SBILIFE","1,840.80","1,840.80","1,816.50","1,837.60","1,830.00","-","-7.6","-0.41","1053505","192.48","2,132.00","1,700.40","-1.77","-0.44"
"PERSISTENT","5,530.00","5,530.00","5,390.00","5,536.00","5,474.00","-","-62","-1.12","347580","189.13","6,599.00","4,244.50","8.31","4.62"
"TATACHEM","668.45","708.90","663.00","668.75","674.00","-","5.25","0.79","2753913","188.15","1,026.65","580.30","-6.53","-28.69"
"ASHOKLEY","174.83","177.38","174.43","174.83","176.70","-","1.87","1.07","10612472","186.10","215.42","114.96","12.2","48.04"
"INDIANB","875.60","897.65","873.10","875.60","897.00","-","21.4","2.44","2076183","185.23","1,000.90","642.60","3.02","33.6"
"TATACONSUM","1,077.00","1,078.00","1,054.30","1,078.00","1,061.90","-","-16.1","-1.49","1713131","181.91","1,282.70","1,007.20","-4.5","1.44"
"PGEL","616.00","620.80","604.25","616.00","614.65","-","-1.35","-0.22","2976044","181.87","644.40","436.55","5.4","19.3"
"MANKIND","2,418.00","2,433.10","2,381.30","2,425.00","2,433.10","-","8.1","0.33","754503","181.67","2,674.00","1,909.70","-3.64","0.1"
"POWERGRID","267.95","270.00","266.30","267.95","269.45","-","1.5","0.56","6699919","179.61","324.95","250.00","-4.82","-5.34"
"MRPL","180.24","180.78","173.22","181.14","174.20","-","-6.94","-3.83","10085904","179.29","212.31","120.45","7.21","37.94"
"M&MFIN","398.35","410.00","392.50","398.80","395.50","-","-3.3","-0.83","4492168","178.36","415.00","251.05","16.03","53.92"
"ASIANPAINT","2,733.20","2,748.40","2,698.20","2,735.50","2,740.00","-","4.5","0.16","648174","176.74","2,985.70","2,115.00","2.32","10.56"
"MAZDOCK","2,554.00","2,569.90","2,485.90","2,554.00","2,552.00","-","-2","-0.08","692659","175.80","3,061.40","2,057.40","5.45","-5.16"
"DLF","653.00","661.75","644.55","650.10","661.75","-","11.65","1.79","2681958","174.87","794.80","489.40","-3.5","-12.63"
"ABB","7,611.50","7,741.00","7,585.50","7,611.50","7,710.00","-","98.5","1.29","224512","172.49","7,924.50","4,637.50","12.79","52.03"
"SOLARINDS","18,800.00","18,800.00","18,530.00","18,770.00","18,730.00","-","-40","-0.21","92222","172.15","19,187.00","11,646.00","2.71","28.36"
"HSCL","760.00","764.95","756.10","755.50","762.30","-","6.8","0.9","2240303","170.50","819.50","418.50","15.42","62.43"
"AUBANK","1,070.90","1,091.40","1,062.00","1,070.90","1,091.40","-","20.5","1.91","1572313","169.28","1,105.90","682.15","1.8","50.58"
"BDL","1,309.00","1,340.00","1,308.00","1,307.60","1,340.00","-","32.4","2.48","1279928","169.19","1,654.00","1,086.00","-0.33","-9.83"
"COALINDIA","412.60","413.70","408.20","412.60","409.30","-","-3.3","-0.8","4089147","167.62","491.25","368.65","-4.66","6.22"
"TATAPOWER","378.60","380.00","374.10","380.00","379.45","-","-0.55","-0.14","4430571","167.04","464.90","342.50","-0.49","-1.3"
"STLTECH","621.20","651.00","620.00","620.00","651.00","-","31","5","2563401","164.59","679.90","84.60","19.88","418.73"
"HYUNDAI","2,192.70","2,245.00","2,192.70","2,200.00","2,240.00","-","40","1.82","732935","163.11","2,890.00","1,658.00","12.85","1.58"
"SKYGOLD","797.90","840.00","793.10","790.05","838.00","-","47.95","6.07","1979236","162.32","840.00","259.00","34.33","206.62"
"BIOCON","427.75","430.50","422.60","426.00","427.40","-","1.4","0.33","3793310","162.27","447.15","331.00","2.13","20.43"
"MEESHO","190.75","194.17","190.44","190.41","191.97","-","1.56","0.82","8383592","161.10","254.40","125.56","-1.1","0"
"OLAELEC","39.85","40.81","39.29","39.66","39.90","-","0.24","0.61","40404612","161.05","71.25","22.25","-1.26","0.2"
"WABAG","1,950.00","1,965.00","1,875.00","1,950.10","1,899.00","-","-51.1","-2.62","821901","158.52","2,253.50","1,033.00","-14.51","23.76"
"WIPRO","184.51","185.00","181.91","184.60","183.94","-","-0.66","-0.36","8624548","157.87","273.10","169.00","4.83","-23.9"
"ENRIN","3,582.00","3,612.00","3,488.00","3,563.80","3,580.00","-","16.2","0.45","445189","157.59","3,968.00","2,115.00","1.51","13.76"
"GAIL","175.34","177.95","173.30","175.34","177.95","-","2.61","1.49","8976408","156.71","186.87","134.36","2.43","2.09"
"NMDC","85.87","86.07","84.89","85.45","85.90","-","0.45","0.53","18266091","155.96","97.49","68.19","1.15","21.09"
